ID	Order	Title	ID	Location	Size (Sq. Ft)	Role	Worksheet Role	Designed By	Worksheet Designed By	Architecture by	Worksheet Architecture	Categories	Permalink	Image Featured	Slug
2425	19	My Darling Ivy	2425	Chelsea	1500	General Contractor	#N/A	VJ Moscaritola	#N/A	Studio Stigsby	#N/A	Commercial	https://www.streamlineusa.com/commercial/my-darling-ivy/	http://www.streamlineusa.com/wp-content/uploads/2020/05/My-Darling-Ivy-Featured.jpg	my-darling-ivy
2838	19	53rd st studio	2838	Hell's Kitchen	750	General Contractor	#N/A	LDN interiors	#N/A		#N/A	Residential	https://www.streamlineusa.com/residential/53rd-st-studio/	http://www.streamlineusa.com/wp-content/uploads/2022/02/20210310_425West53rdSt-3669.jpg	53rd-st-studio
534	20	Thompson St. Studio	534	SOHO	600	General Contractor + Millwork	#N/A	SWA Architecture	#N/A		#N/A	Residential	https://www.streamlineusa.com/residential/thompson-st-studio/	http://www.streamlineusa.com/wp-content/uploads/2019/12/THOMPSON_STUDIO-Featured-scaled.jpg	thompson-st-studio
564	20	Washington Sq. Dermatology	564	West Village	2500	General Contractor	#N/A	Dr. Samer Jaber	#N/A		#N/A	Commercial	https://www.streamlineusa.com/commercial/upper-east-side-townhouse/	http://www.streamlineusa.com/wp-content/uploads/2019/12/wash.jpg	upper-east-side-townhouse
503	21	Free People Retail Store	503	Meatpacking District	7000	Carpentry + Finishes	#N/A	David Levy Architecture	#N/A		#N/A	Commercial	https://www.streamlineusa.com/commercial/free-people-retail-store/	http://www.streamlineusa.com/wp-content/uploads/2019/12/Free-People-Updated-Featured.jpg	free-people-retail-store
527	21	1st Ave Apartment	527	Murray Hill	2000	General Contractor + Millwork	#N/A	SWA Architecture	#N/A	SWA Architecture	#N/A	Residential	https://www.streamlineusa.com/residential/1st-ave-apt/	http://www.streamlineusa.com/wp-content/uploads/2019/12/Murray-Hill-Featured.jpg	1st-ave-apt
2345	22	Motel 23 Lounge	2345	Chelsea	3500	General Contractor	#N/A	Colin Fuda	#N/A	Atelier New York	#N/A	Commercial	https://www.streamlineusa.com/commercial/motel-23-lounge/	http://www.streamlineusa.com/wp-content/uploads/2020/05/Motel-23-Featured.jpg	motel-23-lounge
2366	22	Wainscott, East Hampton Residence	2366	Wainscott, East Hampton	3200	Construction Consultant	#N/A	Nathalie Akiya Design	#N/A		#N/A	Residential	https://www.streamlineusa.com/residential/wainscott-east-hampton-residence/	http://www.streamlineusa.com/wp-content/uploads/2020/05/IMG_1256.png	wainscott-east-hampton-residence
2384	23	Ground Central Coffee Company	2384	Murray Hill	550	General Contractor	#N/A	Daniel O'Connor Architects	#N/A	Daniel O'Connor Architects	#N/A	Commercial	https://www.streamlineusa.com/commercial/ground-central-coffee-company/	http://www.streamlineusa.com/wp-content/uploads/2020/05/Ground-Central-Featured.jpg	ground-central-coffee-company
558	24	Atrium Corporate Office	558	NoHo	5000	General Contractor + Millwork	#N/A	Sam Ben avraham	#N/A	Bang 3 Design	#N/A	Commercial	https://www.streamlineusa.com/commercial/autrium-corporate-office/	http://www.streamlineusa.com/wp-content/uploads/2019/12/Streamline-USA-Atrium-5.65x4.11.jpg	autrium-corporate-office
		Mexicue	3500	NoHo	3500	General Contractor	#N/A	Treehouse Designs	#N/A	SWA Architecture	#N/A	Commercial	https://www.staging8.streamlineusa.com/commercial/mexicue/	https://www.staging8.streamlineusa.com/wp-content/uploads/2019/12/MEX1.jpg	mexicue
